id	name_before	name_after	quote_before	quote_after	source_before	source_after	reason	confidence
statesman_themistocles	Фемистокл	Фемистокл	«Город — это люди, а не стены и корабли без людей»	«Пока у нас есть двести кораблей с экипажами, у афинян есть и город, и земля, больше ваших»	Фукидид. История Пелопоннесской войны. Книга номер один. Раздел номер сто сорок три.	Геродот. История. Книга восемь. Глава шестьдесят один.	Прежняя фраза взята из речи Перикла у Фукидида 1.143 и была ошибочно приписана Фемистоклу. Поставлена речь Фемистокла у Геродота 8.61.	средняя: античный текст надёжен, но речь литературно обработана
statesman_agrippa	Марк Випсаний Агриппа	Марк Випсаний Агриппа	«Не взяв ничего из государственной казны, он восстановил все общественные здания и все улицы»	«Не взяв ничего из государственной казны, он восстановил все общественные здания и все улицы»	Дион Кассий. Римская история. Книга сорок девять. Сорок три. Один	Дион Кассий. Римская история. Книга сорок девять. Глава сорок три. Пункт один.	Сохранён прямой фрагмент Диона Кассия; уточнено обозначение книги, главы и пункта.	высокая
statesman_nerva	Марк Кокцей Нерва	Марк Кокцей Нерва	«Я усыновляю Марка ульпия Нерву Траяна»	«Я усыновляю Марка Ульпия Нерву Траяна»	Дион Кассий. Римская история. Книга шестьдесят восемь. Три. Один	Дион Кассий. Римская история. Книга шестьдесят восемь. Глава три. Пункт четыре.	Исправлены падеж имени Ульпия и точная ссылка на Дион Кассий 68.3.4.	средняя: античный текст надёжен, но речь литературно обработана
statesman_trajan	Траян	Траян	«Бери этот меч; если я буду править хорошо, за меня, если дурно, против меня»	«Бери этот меч: если я буду править хорошо, употреби его за меня; если дурно — против меня»	Дион Кассий. Римская история. Книга номер шестьдесят восемь. Раздел номер шестнадцать.	Дион Кассий. Римская история. Книга шестьдесят восемь. Глава шестнадцать. Пункт два.	Фраза сохранена, но приведена ближе к тексту Диона Кассия и снабжена точным пунктом 68.16.2.	средняя: античный текст надёжен, но речь литературно обработана
statesman_hadrian	Адриан	Адриан	«Я буду управлять государством так, чтобы люди знали: оно принадлежит не мне, а народу»	«Я буду управлять государством так, чтобы люди знали: оно принадлежит не мне, а народу»	История Августов. Жизнь Адриана. Восемь. Три.	История Августов. Жизнь Адриана. Глава восемь. Пункт три.	Сохранён засвидетельствованный текст; ссылка приведена к стандартному виду SHA, Hadrian 8.3.	средняя: античный текст надёжен, но речь литературно обработана
general_scipio	Сципион Африканский	Сципион Африканский	«он никогда не приступал ни к одному общественному или частному предприятию, не сходив прежде на Капитолий»	«Он никогда не приступал ни к одному общественному или частному делу, не сходив прежде на Капитолий»	Тит Ливий. История Рима от основания города. Книга двадцать шесть. Девятнадцать	Тит Ливий. История Рима от основания города. Книга двадцать шесть. Глава девятнадцать. Пункт пять.	Исправлены регистр, формулировка и точная ссылка на Ливия 26.19.5.	высокая
general_hannibal	Ганнибал Барка	Ганнибал Барка	«Перед вами уже лежит Италия; переходя Альпы, вы переходите стены не только Италии, но и самого Рима»	«Перед вами уже лежит Италия; переходя Альпы, вы взбираетесь на стены не только Италии, но и самого Рима»	Тит Ливий. История Рима от основания города. Книга двадцать один. Тридцать.	Тит Ливий. История Рима от основания города. Книга двадцать один. Глава тридцать пять. Пункт восемь.	В исходнике была неверная глава 21.30. Фрагмент находится в литературной речи Ганнибала у Ливия 21.35.8.	средняя: античный текст надёжен, но речь литературно обработана
general_germanicus	Германик	Германик	«Поразите лучше меня: для меня легче умереть, чем стать свидетелем позора»	«Он заявил, что скорее умрёт, чем отступит от верности»	Тацит. анналы. Книга один. Тридцать пять	Тацит. Анналы. Книга один. Глава тридцать пять.	Предыдущая реплика не соответствовала тексту Тацита. Поставлен близкий перевод прямого авторского сообщения Annales 1.35.	высокая
general_belisarius	Велизарий	Велизарий	«Военная доблесть измеряется не числом сражающихся, но их порядком и храбростью»	«Войну решают не число людей и не величина тел, а доблесть души»	Прокопий Кесарийский. Войны. Война с вандалами. Книга два. Шестнадцать. Двадцать девять	Прокопий Кесарийский. Войны. Война с вандалами. Книга два. Глава три. Пункт шестнадцать.	Заменена свободная формулировка на близкий перевод речи Велизария у Прокопия, Vandal War 2.3.16.	средняя: античный текст надёжен, но речь литературно обработана
general_agrippa_general	Марк Випсаний Агриппа	Марк Випсаний Агриппа	«Вариус воспоёт тебя, Агриппа, отважного победителя, на крыльях гомеровской песни»	«Варий воспоёт тебя, Агриппа, отважного победителя, на крыльях гомеровской песни»	Гораций. оды. Книга один. Шесть. Один — два	Гораций. Оды. Книга один. Ода шесть. Строки с первой по вторую.	Исправлено имя поэта Вария и нормализована ссылка на Горация, Оды 1.6.1–2.	высокая
