id	status	old_name	new_name	era	branch
centuriate_levy	new		Центуриатский набор	1	Легионы и строевая тактика
equites_census	new		Конный ценз	1	Кавалерия, ауксилии и граница
manipular_drill	retained	Манипулярная муштра	Манипулярная муштра	1	Легионы и строевая тактика
castra_aestiva	renamed	Летние лагеря	Регламентированный походный лагерь	1	Кавалерия, ауксилии и граница
siege_engines	renamed	Осадные машины	Таранно-башенный осадный комплекс	1	Осадная техника и артиллерия
twelve_tables	renamed	Законы XII таблиц	Публичный свод XII таблиц	1	Право и государственное управление
tax_census	renamed	Ценз и налоговые списки	Имущественный ценз и кадастр	1	Торговля, деньги и снабжение
sacred_calendar	renamed	Священный календарь	Публичные fasti	1	Религия, городское общество и идеология
augural_colleges	renamed	Авгурские коллегии	Регламентированные ауспиции	1	Религия, городское общество и идеология
scribal_bureau	renamed	Писцовые бюро	Штат государственных писцов	1	Наука, образование и медицина
via_appia	renamed	Via Appia	Многослойная магистраль Via Appia	1	Дороги, вода и строительство
groma_surveying	new		Громатическое межевание	1	Дороги, вода и строительство
lined_cisterns	new		Водонепроницаемые цистерны	1	Дороги, вода и строительство
cloaca_vaulting	new		Сводчатая канализация	1	Дороги, вода и строительство
iron_ploughshares	new		Железные сошники и лемехи	1	Земледелие, добыча и ремесло
bronze_molds	new		Составные формы для бронзы	1	Земледелие, добыча и ремесло
merchant_collegia	renamed	Коллегии торговцев	Коллегии ремесла и торговли	1	Торговля, деньги и снабжение
stone_roads	renamed	Каменные дороги	Каменное мощение и водоотвод	1	Дороги, вода и строительство
aqueduct	renamed	Aqua Marcia (акведук)	Самотечный акведук	1	Дороги, вода и строительство
mortise_tenon_hulls	new		Корпус на шиповых соединениях	1	Флот, кораблестроение и навигация
gladius_hispaniensis	renamed	Gladius Hispaniensis	Принятие Gladius Hispaniensis	2	Легионы и строевая тактика
pila_mass_production	renamed	Массовое производство пилумов	Стандартизированное производство пилумов	2	Легионы и строевая тактика
naval_quinquereme	renamed	Квинкверема	Серийная постройка квинкверем	2	Флот, кораблестроение и навигация
corvus_bridge	renamed	Corvus	Абордажный мост corvus	2	Флот, кораблестроение и навигация
torsion_artillery	renamed	Торсионная артиллерия	Торсионные пучки сухожилий	2	Осадная техника и артиллерия
siege_doctrine	renamed	Осадная доктрина	Инженерная осадная доктрина	2	Осадная техника и артиллерия
repeating_artillery	renamed	Повторяющаяся артиллерия	Полибол с цепной подачей	2	Осадная техника и артиллерия
allied_alae	new		Союзнические alae	2	Кавалерия, ауксилии и граница
currency_reform	renamed	Денежная реформа	Весовой стандарт денария	2	Торговля, деньги и снабжение
state_mints	renamed	Государственные монетные дворы	Штемпельная монетная чеканка	2	Торговля, деньги и снабжение
forum_maximum	renamed	Forum Maximum	Базилика-форумный комплекс	2	Религия, городское общество и идеология
granaries	renamed	Государственные амбары	Вентилируемые horrea	2	Религия, городское общество и идеология
banking	renamed	Банковское дело	Депозитные книги аргентариев	2	Торговля, деньги и снабжение
military_roads	renamed	Военные дороги	Маршевые дороги и станции	2	Дороги, вода и строительство
harbor_cranes	renamed	Портовые краны	Поворотные краны и кабестаны	2	Дороги, вода и строительство
greek_tutors	renamed	Греческие наставники	Греческая paideia	2	Наука, образование и медицина
provincial_law	renamed	Провинциальное право	Формулярное провинциальное судопроизводство	2	Право и государственное управление
iron_armories	renamed	Государственные оружейные	Централизованные fabricae вооружения	2	Осадная техника и артиллерия
naval_artillery	renamed	Корабельная артиллерия	Палубные баллисты и скорпионы	2	Флот, кораблестроение и навигация
naval_supply	renamed	Морское снабжение	Снабженческий флот	2	Флот, кораблестроение и навигация
testudo	renamed	Testudo (черепаха)	Согласованная testudo	3	Легионы и строевая тактика
cohort_tactics	retained	Когортная тактика	Когортная тактика	3	Легионы и строевая тактика
marian_reform	renamed	Марианская реформа	Постоянный легионный набор	3	Легионы и строевая тактика
eagle_standards	renamed	Орлиные штандарты	Единый легионный орёл	3	Легионы и строевая тактика
veteran_colonies	renamed	Ветеранские колонии	Плановые ветеранские колонии	3	Кавалерия, ауксилии и граница
legionary_workshops	renamed	Легионные мастерские	Полевые fabricae legionis	3	Осадная техника и артиллерия
incendiary_munitions	renamed	Зажигательные боеприпасы	Стандартизированные зажигательные снаряды	3	Осадная техника и артиллерия
pirate_suppression	renamed	Подавление пиратов	Зональные морские патрули	3	Флот, кораблестроение и навигация
deepwater_harbors	renamed	Глубоководные гавани	Молы и глубоководные бассейны	3	Флот, кораблестроение и навигация
concrete	renamed	Opus Caementicium	Opus caementicium	3	Дороги, вода и строительство
latifundia	renamed	Латифундии	Товарная villa rustica	3	Земледелие, добыча и ремесло
water_mills	new		Колесная водяная мельница	3	Земледелие, добыча и ремесло
glassblowing	new		Выдувание стекла через трубку	3	Земледелие, добыча и ремесло
citizenship_grants	renamed	Дарование гражданства	Муниципальное гражданство и латинское право	3	Право и государственное управление
public_baths	renamed	Общественные термы	Термы с циркуляцией воды	3	Религия, городское общество и идеология
roman_schools	renamed	Римские школы	Школы грамматики и риторики	3	Наука, образование и медицина
senatorial_commissions	renamed	Сенатские комиссии	Постоянные судебные комиссии	3	Право и государственное управление
governor_audits	renamed	Проверки наместников	Финансовые отчёты наместников	3	Право и государственное управление
customs_posts	renamed	Таможенные посты	Портории и таможенные станции	3	Торговля, деньги и снабжение
mare_nostrum	renamed	Mare Nostrum	Единая система морских коммуникаций	3	Флот, кораблестроение и навигация
admiralty	renamed	Адмиралтейство	Постоянные classis и префекты флота	4	Флот, кораблестроение и навигация
alexandrian_mechanics	renamed	Александрийская механика	Александрийская прикладная механика	4	Наука, образование и медицина
auxiliary_diplomas	new		Военные дипломы ауксилиев	4	Кавалерия, ауксилии и граница
auxiliary_recruitment	renamed	Штатная вербовка ауксилий	Штатная система ауксилий	4	Кавалерия, ауксилии и граница
carroballistae	new		Карробаллисты на колёсных станках	4	Осадная техника и артиллерия
cheiroballistra	new		Хиробаллистра с металлической рамой	4	Осадная техника и артиллерия
