№;Период;ID;Название;Отрасль;Стоимость;Предпосылки;Описание;Открывает
1;I. Италийские основы и ранняя Республика (509–300 до н. э.);centuriate_levy;Центуриатский набор;Легионы и строевая тактика;40;;"Имущественные разряды определяют вооружение и место гражданина в боевом строю; открывает ранние гражданские легионы.";отряд: Гражданский легион ранней Республики | здание: Казармы
2;I. Италийские основы и ранняя Республика (509–300 до н. э.);equites_census;Конный ценз;Кавалерия, ауксилии и граница;43;centuriate_levy;"Государство учитывает всадников и выдаёт им средства на коня; открывает римских equites и конные дворы.";отряд: Римские equites | здание: Ветеринарий | здание: Конный завод
3;I. Италийские основы и ранняя Республика (509–300 до н. э.);manipular_drill;Манипулярная муштра;Легионы и строевая тактика;46;centuriate_levy;Легион делится на самостоятельные манипулы с интервалами, сменой линий и сигналами центурионов.;здание: Марсово поле
4;I. Италийские основы и ранняя Республика (509–300 до н. э.);castra_aestiva;Регламентированный походный лагерь;Кавалерия, ауксилии и граница;49;manipular_drill, groma_surveying;"Каждая колонна завершает марш рвом, валом, воротами и сеткой улиц; открывает палисады и полевые лагеря.";здание: Палисад | здание: Ров | здание: Сторожевая башня
5;I. Италийские основы и ранняя Республика (509–300 до н. э.);siege_engines;Таранно-башенный осадный комплекс;Осадная техника и артиллерия;48;bronze_molds, groma_surveying;Плотники собирают тараны, навесы и многоярусные башни по единым чертежам.;отряд: Осадная башня | артиллерия: Иудейские стенобитные тараны | артиллерия: Самнитские стенобои | здание: Городские стены | здание: Надвратное укрепление | здание: Осадная мастерская | чудо света: Сервиева стена
6;I. Италийские основы и ранняя Республика (509–300 до н. э.);twelve_tables;Публичный свод XII таблиц;Право и государственное управление;51;;"Правовые нормы записываются и выставляются для всеобщего обозрения; открывает суд и раннюю канцелярию.";здание: Судебная базилика
7;I. Италийские основы и ранняя Республика (509–300 до н. э.);tax_census;Имущественный ценз и кадастр;Торговля, деньги и снабжение;54;centuriate_levy, scribal_bureau;Цензоры связывают имущество, воинскую обязанность и налоговые списки в единый реестр.;здание: Контора публиканов | здание: Цензовая контора
8;I. Италийские основы и ранняя Республика (509–300 до н. э.);sacred_calendar;Публичные fasti;Религия, городское общество и идеология;57;;Календарные таблицы отделяют судебные, праздничные и запретные дни и синхронизируют жизнь общины.;отряд: Священные знаменосцы | здание: Асклепион | здание: Храм Весты | здание: Храм Исиды | здание: Храм Меркурия | здание: Храм Нептуна | здание: Храм Цереры | чудо света: Капитолийские фасты
9;I. Италийские основы и ранняя Республика (509–300 до н. э.);augural_colleges;Регламентированные ауспиции;Религия, городское общество и идеология;56;sacred_calendar;Коллегии жрецов фиксируют порядок гаданий, освящения должностей и объявления войны.;здание: Капитолийский храм | здание: Коллегия авгуров | здание: Храм Марса | чудо света: Дом авгуров | чудо света: Статуя Зевса Олимпийского | чудо света: Храм Аполлона Палатинского | чудо света: Храм Артемиды в Эфесе | чудо света: Храм Юпитера Капитолийского
10;I. Италийские основы и ранняя Республика (509–300 до н. э.);scribal_bureau;Штат государственных писцов;Наука, образование и медицина;59;twelve_tables;Писцы ведут сенатские постановления, договоры, цензовые списки и храмовые счета.;здание: Папирусная мануфактура | здание: Скрипторий | чудо света: Капитолийские фасты | чудо света: Табуларий
