gladius_hispaniensis	Меч, кот+орый +он+и назыв+ают исп+анским, превосх+оден дл+я ук+ола.. ... ... ... ... ... +оба ег+о л+езвия с+ильно р+ежут, потом+у чт+о клин+ок кр+епок +и н+ад+ёжен. ... ... Ист+очник.. ... ... Пол+ибий.. ... ... Все+общая ист+ория.. ... ... Кн+ига шест+ая.. ... ... Глав+а дв+адцать тр+етья.. ... ... Парагр+афы шест+ой.. ... ... ... ... ... седьм+ой.
manipular_drill	+Их упражн+ения.. ... ... ... ... ... бескр+овные сраж+ения, +а +их сраж+ения.. ... ... ... ... ... кров+авые упражн+ения. ... ... Ист+очник.. ... ... И+осиф Фл+авий.. ... ... Иуд+ейская войн+а.. ... ... Кн+ига тр+етья.. ... ... Глав+а п+ятая.. ... ... Парагр+аф п+ервый.
testudo	Он+и пост+авили щит+ы ребр+ом, +а св+ерху накр+ыли друг+их, получ+илось под+обие кр+ыши, +и стр+елы, скольз+я п+о п+анцирю, н+е причин+яли вред+а. ... ... Ист+очник.. ... ... Ди+он К+ассий.. ... ... Р+имская ист+ория.. ... ... Кн+ига с+орок дев+ятая.. ... ... Глав+а тридц+атая.
siege_engines	С+амая стр+ашная +из ос+адных маш+ин.. ... ... ... ... ... тар+ан.. ... ... ... ... ... ... ... ... +он сокруш+ает ст+ены уд+арами огр+омного бревн+а. ... ... Ист+очник.. ... ... Вег+еций.. ... ... +О во+енном д+еле.. ... ... Кн+ига четв+ёртая.. ... ... Глав+а четырн+адцатая.
castra_aestiva	Пр+ежде ч+ем вступ+ать в б+ой, +он+и укрепл+яют л+агерь рвом, в+алом +и часток+олом. ... ... Ист+очник.. ... ... И+осиф Фл+авий.. ... ... Иуд+ейская войн+а.. ... ... Кн+ига тр+етья.. ... ... Глав+а п+ятая.. ... ... Парагр+аф п+ервый.
professional_centurions	Центури+онами хот+ят в+идеть н+е ст+олько смельчак+ов, ск+олько люд+ей ст+ойких +и спос+обных ком+андовать. ... ... Ист+очник.. ... ... Пол+ибий.. ... ... Все+общая ист+ория.. ... ... Кн+ига шест+ая.. ... ... Глав+а дв+адцать четв+ёртая.
eagle_standards	Ор+ёл.. ... ... ... ... ... гл+авное зн+амя всег+о леги+он+а.. ... ... ... ... ... ег+о нес+ёт орлон+осец. ... ... Ист+очник.. ... ... Вег+еций.. ... ... Кр+аткое излож+ение во+енного д+ела.. ... ... Кн+ига втор+ая.. ... ... Глав+а тринадц+атая.
marian_reform	М+арий набир+ал в+оинов н+е п+о ст+арому им+ущественному ц+ензу, н+о +из тех, ког+о назыв+али неим+ущими. ... ... Ист+очник.. ... ... Салл+юстий.. ... ... Югурт+инская войн+а.. ... ... Глав+а в+осемьдесят шест+ая.
ballista_corps	Балл+иста бь+ёт издал+и стрел+ой с жел+езным нак+онечником, сл+овно м+олния. ... ... Ист+очник.. ... ... Амми+ан Марцелл+ин.. ... ... Де+яния.. ... ... Кн+ига дв+адцать тр+етья.. ... ... Глав+а четв+ёртая.
frontier_limes	Вы окруж+или держ+аву лагер+ями, сл+овно ст+ен+ою, кот+орую невозм+ожно перейт+и незам+еченным. ... ... Ист+очник.. ... ... +Элий Арист+ид.. ... ... Р+имская р+ечь.. ... ... Парагр+аф в+осемьдесят втор+ой.
via_appia	+Аппиева дор+ога.. ... ... ... ... ... цар+ица дл+инных дор+ог. ... ... Ист+очник.. ... ... Ст+аций.. ... ... С+ильвы.. ... ... Кн+ига втор+ая.. ... ... Стихотвор+ение втор+ое.. ... ... Строк+а двен+адцатая.
